@RELATION pacman-data-training

	 @ATTRIBUTE pacman-x NUMERIC
	 @ATTRIBUTE pacman-y NUMERIC
	 @ATTRIBUTE ghost-x NUMERIC
	 @ATTRIBUTE ghost-y NUMERIC
	 @ATTRIBUTE ghost-distance NUMERIC
	 @ATTRIBUTE north-legal {True,False}
	 @ATTRIBUTE south-legal {True,False}
	 @ATTRIBUTE east-legal {True,False}
	 @ATTRIBUTE west-legal {True,False}
	 @ATTRIBUTE ghost-move {North,South,East,West,Stop,None}
	 @ATTRIBUTE score NUMERIC
	 @ATTRIBUTE final-move {North,South,East,West,Stop}
	 @ATTRIBUTE next_score NUMERIC

	 @data

12,10,13,12,3,True,True,True,True,None,0,Stop,-1
12,10,13,12,2,True,True,True,True,South,-1,Stop,-2
12,10,13,8,3,True,True,True,True,North,-2,Stop,-3
12,10,12,8,2,True,True,True,True,West,-3,Stop,-4
12,9,12,7,2,True,True,True,True,South,-4,South,-5
12,8,12,6,2,True,True,True,True,South,-5,South,-6
12,7,13,6,2,True,True,True,True,East,-6,South,-7
12,6,13,6,1,True,True,True,True,East,-7,South,192
13,6,12,13,9,True,True,True,True,North,192,East,191
13,7,12,14,8,True,True,True,True,North,191,North,190
13,8,12,14,6,True,True,True,True,South,190,North,189
13,9,12,13,6,True,True,True,True,North,189,North,188
13,10,9,12,6,True,True,True,True,East,188,North,187
13,11,10,12,4,True,True,True,True,East,187,North,186
13,12,11,13,2,True,True,True,True,East,186,North,185
12,12,12,13,2,True,True,True,True,North,185,West,384
12,13,10,13,2,True,True,True,True,East,384,North,383
12,14,10,13,3,False,True,True,True,East,383,North,382
11,14,10,12,3,False,True,True,True,South,382,West,381
10,14,11,12,3,False,True,True,True,East,381,West,380
10,13,12,12,3,True,True,True,True,East,380,South,379
11,13,13,12,3,True,True,True,True,East,379,East,378
12,13,14,12,3,True,True,True,True,East,378,East,377
13,13,14,11,3,True,True,True,True,South,377,East,376
13,12,15,11,3,True,True,True,True,East,376,South,375
14,12,15,11,2,True,True,True,True,East,375,East,374
15,12,14,11,2,True,True,True,True,West,374,East,373
15,11,13,11,2,True,True,True,True,West,373,South,572
14,11,5,5,15,True,True,True,True,South,572,West,571
13,11,5,6,13,True,True,True,True,North,571,West,570
13,10,4,6,13,True,True,True,True,West,570,South,569
13,9,4,5,13,True,True,True,True,South,569,South,568
12,9,4,5,12,True,True,True,True,South,568,West,567
11,9,4,4,12,True,True,True,True,South,567,West,566
10,9,3,4,12,True,True,True,True,West,566,West,565
9,9,3,5,10,True,True,True,True,North,565,West,564
9,8,3,5,9,True,True,True,True,North,564,South,563
9,7,3,6,7,True,True,True,True,North,563,South,562
8,7,3,6,6,True,True,True,True,North,562,West,561
7,7,4,6,4,True,True,True,True,East,561,West,560
6,7,3,6,4,True,True,True,True,West,560,West,559
5,7,2,6,4,True,True,True,True,West,559,West,558
4,7,2,6,3,True,True,True,True,West,558,West,557
4,6,2,7,3,True,True,True,True,North,557,South,556
4,5,1,7,5,True,True,True,True,West,556,South,555
4,4,2,7,5,True,True,True,True,East,555,South,554
4,3,2,7,6,True,False,True,True,East,554,South,553
3,3,2,7,5,True,False,True,True,East,553,West,552
3,4,1,7,5,True,True,True,True,West,552,North,551
3,5,1,7,4,True,True,True,True,West,551,North,550
3,6,1,6,2,True,True,True,True,South,550,North,549
2,6,1,7,2,True,True,True,True,North,549,West,0
12,10,13,12,3,True,True,True,True,None,0,Stop,-1
12,10,13,12,3,True,True,True,True,Stop,-1,Stop,-2
12,10,13,12,3,True,True,True,True,Stop,-2,Stop,-3
12,10,13,12,3,True,True,True,True,Stop,-3,Stop,-4
12,10,13,12,3,True,True,True,True,Stop,-4,Stop,-5
12,10,13,12,3,True,True,True,True,Stop,-5,Stop,-6
13,10,13,12,2,True,True,True,True,Stop,-6,East,-7
13,11,13,12,1,True,True,True,True,Stop,-7,North,192
13,12,13,6,6,True,True,True,True,Stop,192,North,191
13,11,13,6,5,True,True,True,True,Stop,191,South,190
13,10,13,6,4,True,True,True,True,Stop,190,South,189
13,9,13,6,3,True,True,True,True,Stop,189,South,188
13,8,13,6,2,True,True,True,True,Stop,188,South,187
13,7,13,6,1,True,True,True,True,Stop,187,South,386
13,6,5,6,8,True,True,True,True,Stop,386,South,385
12,6,5,6,7,True,True,True,True,Stop,385,West,384
11,6,5,6,6,True,True,True,True,Stop,384,West,383
10,6,5,6,5,True,True,True,True,Stop,383,West,382
9,6,5,6,4,True,True,True,True,Stop,382,West,381
8,6,5,6,3,True,True,True,True,Stop,381,West,380
7,6,5,6,2,True,True,True,True,Stop,380,West,379
6,6,5,6,1,True,True,True,True,Stop,379,West,578
5,6,5,12,6,True,True,True,True,Stop,578,West,577
5,7,5,12,5,True,True,True,True,Stop,577,North,576
5,8,5,12,4,True,True,True,True,Stop,576,North,575
6,8,5,12,5,True,True,True,True,Stop,575,East,574
6,9,5,12,4,True,True,True,True,Stop,574,North,573
6,10,5,12,3,True,True,True,False,Stop,573,North,572
6,11,5,12,2,True,True,True,True,Stop,572,North,571
6,12,5,12,1,True,True,True,True,Stop,571,North,0
12,10,13,12,3,True,True,True,True,None,0,Stop,-1
