@RELATION pacman-data-training

	 @ATTRIBUTE pacman-x NUMERIC
	 @ATTRIBUTE pacman-y NUMERIC
	 @ATTRIBUTE ghost-x NUMERIC
	 @ATTRIBUTE ghost-y NUMERIC
	 @ATTRIBUTE ghost-distance NUMERIC
	 @ATTRIBUTE north-legal {True,False}
	 @ATTRIBUTE south-legal {True,False}
	 @ATTRIBUTE east-legal {True,False}
	 @ATTRIBUTE west-legal {True,False}
	 @ATTRIBUTE ghost-move {North,South,East,West,Stop,None}
	 @ATTRIBUTE score NUMERIC
	 @ATTRIBUTE final-move {North,South,East,West,Stop}
	 @ATTRIBUTE next_score NUMERIC

	 @data

12,10,13,12,3,True,True,True,True,None,0,Stop,-1
12,11,13,12,2,True,True,True,True,Stop,-1,North,-2
13,11,13,12,2,True,True,True,True,East,-2,East,-3
13,12,14,12,2,True,True,True,True,North,-3,North,-4
14,12,14,13,2,True,True,True,True,West,-4,East,-5
14,13,13,13,2,True,True,True,True,South,-5,North,-6
13,13,13,12,2,True,True,True,True,South,-6,West,-7
13,12,13,11,1,True,True,True,True,South,-7,South,192
13,11,11,4,9,True,True,True,True,South,192,South,191
12,11,7,7,9,True,True,True,True,North,191,West,190
12,10,11,4,7,True,True,True,True,East,190,South,189
11,10,11,4,6,True,True,True,True,East,189,West,188
11,9,11,4,5,True,True,True,True,East,188,South,187
11,8,11,3,5,True,True,True,True,South,187,South,186
11,7,11,4,3,True,True,True,True,North,186,South,185
11,6,10,4,3,True,True,True,True,West,185,South,184
10,6,10,4,2,True,True,True,True,West,184,West,183
10,5,10,3,2,True,True,True,True,South,183,South,182
10,4,11,3,2,True,True,True,True,East,182,South,181
11,4,12,3,2,True,True,True,True,East,181,East,180
12,4,13,3,2,True,True,True,True,East,180,East,379
13,4,6,6,9,True,True,True,True,West,379,East,378
13,5,6,6,8,True,True,True,True,West,378,North,377
12,5,6,6,7,True,True,True,True,West,377,West,376
12,6,7,6,5,True,True,True,True,East,376,North,375
11,6,8,6,3,True,True,True,True,East,375,West,374
10,6,8,5,3,True,True,True,True,South,374,West,373
9,6,9,5,1,True,True,True,True,East,373,West,572
9,5,6,8,6,True,True,True,True,South,572,South,571
9,6,6,9,6,True,True,True,True,North,571,North,570
8,6,5,9,6,True,True,True,True,West,570,West,569
7,6,5,8,4,True,True,True,True,South,569,West,568
6,6,5,9,4,True,True,True,True,North,568,West,567
5,6,5,9,3,True,True,True,True,North,567,West,566
5,7,4,9,3,True,True,True,True,West,566,North,565
4,7,3,9,3,True,True,True,True,West,565,West,564
3,7,3,9,2,True,True,True,True,West,564,West,563
3,8,3,9,1,True,True,True,True,West,563,North,0
12,10,13,12,3,True,True,True,True,None,0,Stop,-1
12,11,13,12,3,True,True,True,True,East,-1,North,-2
13,11,14,12,1,True,True,True,True,South,-2,East,197
14,11,13,7,5,True,True,True,True,East,197,East,196
13,11,14,7,5,True,True,True,True,East,196,West,195
14,11,14,6,5,True,True,True,True,South,195,East,194
14,10,14,7,3,True,True,True,True,North,194,South,193
14,9,14,8,1,True,True,True,True,North,193,South,392
14,8,7,5,10,True,True,True,True,South,392,South,391
13,8,8,5,8,True,True,True,True,East,391,West,390
12,8,8,6,6,True,True,True,True,North,390,West,389
11,8,9,6,4,True,True,True,True,East,389,West,388
10,8,9,6,3,True,True,True,True,East,388,West,387
9,8,9,6,2,True,True,True,True,East,387,West,386
9,7,10,6,2,True,True,True,True,East,386,South,385
10,7,11,6,2,True,True,True,True,East,385,East,584
11,7,3,11,12,True,True,True,True,West,584,East,583
10,7,4,11,10,True,True,True,True,East,583,West,582
9,7,4,11,9,True,True,True,True,East,582,West,581
8,7,3,11,9,True,True,True,True,West,581,West,580
7,7,2,11,9,True,True,True,True,West,580,West,579
6,7,1,11,9,True,True,True,True,West,579,West,578
6,8,2,11,7,True,True,True,True,East,578,North,577
6,9,2,11,6,True,True,True,True,East,577,North,576
6,10,2,11,5,True,True,True,False,East,576,North,575
6,11,1,11,5,True,True,True,True,West,575,North,574
5,11,1,11,4,True,False,True,True,West,574,West,573
4,11,2,11,2,True,False,True,True,East,573,West,572
3,11,1,11,2,True,False,True,True,West,572,West,571
2,11,1,11,1,True,False,True,True,West,571,West,0
12,10,13,12,3,True,True,True,True,None,0,Stop,-1
13,10,13,12,2,True,True,True,True,Stop,-1,East,-2
13,11,13,12,1,True,True,True,True,Stop,-2,North,197
13,12,13,6,6,True,True,True,True,Stop,197,North,196
13,11,13,6,5,True,True,True,True,Stop,196,South,195
13,10,13,6,4,True,True,True,True,Stop,195,South,194
13,9,13,6,3,True,True,True,True,Stop,194,South,193
13,8,13,6,2,True,True,True,True,Stop,193,South,192
13,7,13,6,1,True,True,True,True,Stop,192,South,391
13,6,5,6,8,True,True,True,True,Stop,391,South,390
12,6,5,6,7,True,True,True,True,Stop,390,West,389
11,6,5,6,6,True,True,True,True,Stop,389,West,388
10,6,5,6,5,True,True,True,True,Stop,388,West,387
9,6,5,6,4,True,True,True,True,Stop,387,West,386
8,6,5,6,3,True,True,True,True,Stop,386,West,385
7,6,5,6,2,True,True,True,True,Stop,385,West,384
6,6,5,6,1,True,True,True,True,Stop,384,West,583
